index,surah,ayah,transliteration
165,2,158,inna as-safa wal-marwata min sha'airi al-lahi faman hajja al-bayta awi i'tamara fala junaha alayhi an yattawwafa bihima waman tatawwa'a khayran fa-inna al-laha shakirun alimun
166,2,159,inna alladhina yaktumuna ma anzalna mina al-bayinati wal-huda min ba'di ma bayyannahu lilnnasi fi al-kitabi ulaika yal'anuhumu al-lahu wayal'anuhumu al-la'inuna
167,2,160,illa alladhina tabu wa-aslahu wabayyanu fa-ulaika atubu alayhim wa-ana at-tawabu ar-rahimu
168,2,161,inna alladhina kafaru wamatu wahum kuffarun ulaika alayhim la'natu al-lahi wal-malaikati wan-nasi ajma'ina
169,2,162,khalidina fiha la yukhaffafu anhumu al-'adhabu wala hum yunzaruna
170,2,163,wa-ilahukum ilahun wahidun la ilaha illa huwa ar-rahmanu ar-rahimu
171,2,164,inna fi khalqi as-samawati wal-ardi wa-ikh'tilafi al-layli wan-nahari wal-ful'ki allati tajri fi al-bahri bima yanfa'u an-nasa wama anzala al-lahu mina as-samai min main fa-ahya bihi al-arda ba'da mawtiha wabatha fiha min kulli dabbatin watasrifi ar-riyahi was-sahabi al-musakhari bayna as-samai wal-ardi laayatin liqawmin ya'qiluna
172,2,165,wamina an-nasi man yattakhidhu min duni al-lahi andadan yuhibbunahum kahubbi al-lahi wa-alladhina amanu ashaddu hubban lillahi walaw yara alladhina zalamu idh yarawna al-'adhaba anna al-quwata lillahi jami'an wa-anna al-laha shadidu al-'adhabi
173,2,166,idh tabarra-a alladhina ittubi'u mina alladhina ittaba'u wara-awu al-'adhaba wataqatta'at bihimu al-asbabu
174,2,167,waqala alladhina ittaba'u law anna lana karratan fanatabarra-a min'hum kama tabarrau minna kadhalika yurihimu al-lahu a'malahum hasaratin alayhim wama hum bikharijina mina an-nari
