index,surah,ayah,transliteration
1744,13,37,wakadhalika anzalnahu huk'man arabiyyan wala-ini ittaba'ta ahwaahum ba'dama jaaka mina al-'il'mi ma laka mina al-lahi min waliyyin wala waqin
1745,13,38,walaqad arsalna rusulan min qablika waja'alna lahum azwajan wadhurriyyatan wama kana lirasulin an yatiya biayatin illa bi-idh'ni al-lahi likulli ajalin kitabun
1746,13,39,yamhu al-lahu ma yashau wayuth'bitu wa'indahu ummu al-kitabi
1747,13,40,wa-in ma nuriyannaka ba'da alladhi na'iduhum aw natawaffayannaka fa-innama alayka al-balaghu wa'alayna al-hisabu
1748,13,41,awalam yaraw anna nati al-arda nanqusuha min atrafiha wal-lahu yahkumu la mu'aqqiba lihuk'mihi wahuwa sari'u al-hisabi
1749,13,42,waqad makara alladhina min qablihim falillahi al-makru jami'an ya'lamu ma taksibu kullu nafsin wasaya'lamu al-kufaru liman uq'ba ad-dari
1750,13,43,wayaqulu alladhina kafaru lasta mur'salan qul kafa bil-lahi shahidan bayni wabaynakum waman indahu il'mu al-kitabi
1751,14,1,alif-lam-ra kitabun anzalnahu ilayka litukh'rija an-nasa mina az-zulumati ila an-nuri bi-idh'ni rabbihim ila sirati al-'azizi al-hamidi
1752,14,2,al-lahi alladhi lahu ma fi as-samawati wama fi al-ardi wawaylun lil'kafirina min adhabin shadidin
1753,14,3,alladhina yastahibbuna al-hayata ad-dun'ya ala al-akhirati wayasudduna an sabili al-lahi wayabghunaha iwajan ulaika fi dalalin ba'idin
1754,14,4,wama arsalna min rasulin illa bilisani qawmihi liyubayyina lahum fayudillu al-lahu man yashau wayahdi man yashau wahuwa al-'azizu al-hakimu
1755,14,5,walaqad arsalna musa biayatina an akhrij qawmaka mina az-zulumati ila an-nuri wadhakkir'hum bi-ayyami al-lahi inna fi dhalika laayatin likulli sabbarin shakurin
1756,14,6,wa-idh qala musa liqawmihi udh'kuru ni'mata al-lahi alaykum idh anjakum min ali fir'awna yasumunakum sua al-'adhabi wayudhabbihuna abnaakum wayastahyuna nisaakum wafi dhalikum balaon min rabbikum azimun
1757,14,7,wa-idh ta-adhana rabbukum la-in shakartum la-azidannakum wala-in kafartum inna adhabi lashadidun
1758,14,8,waqala musa in takfuru antum waman fi al-ardi jami'an fa-inna al-laha laghaniyyun hamidun
1759,14,9,alam yatikum naba-u alladhina min qablikum qawmi nuhin wa'adin wathamuda wa-alladhina min ba'dihim la ya'lamuhum illa al-lahu jaathum rusuluhum bil-bayinati faraddu aydiyahum fi afwahihim waqalu inna kafarna bima ur'sil'tum bihi wa-inna lafi shakkin mimma tad'unana ilayhi muribin
1760,14,10,qalat rusuluhum afi al-lahi shakkun fatiri as-samawati wal-ardi yad'ukum liyaghfira lakum min dhunubikum wayu-akhirakum ila ajalin musamman qalu in antum illa basharun mith'luna turiduna an tasudduna amma kana ya'budu abauna fatuna bisul'tanin mubinin
1761,14,11,qalat lahum rusuluhum in nahnu illa basharun mith'lukum walakinna al-laha yamunnu ala man yashau min ibadihi wama kana lana an natiyakum bisul'tanin illa bi-idh'ni al-lahi wa'ala al-lahi falyatawakkali al-mu'minuna
1762,14,12,wama lana alla natawakkala ala al-lahi waqad hadana subulana walanasbiranna ala ma adhaytumuna wa'ala al-lahi falyatawakkali al-mutawakiluna
1763,14,13,waqala alladhina kafaru lirusulihim lanukh'rijannakum min ardina aw lata'udunna fi millatina fa-awha ilayhim rabbuhum lanuh'likanna az-zalimina
1764,14,14,walanus'kinannakumu al-arda min ba'dihim dhalika liman khafa maqami wakhafa wa'idi
1765,14,15,wa-is'taftahu wakhaba kullu jabbarin anidin
1766,14,16,min waraihi jahannamu wayus'qa min main sadidin
1767,14,17,yatajarra'uhu wala yakadu yusighuhu wayatihi al-mawtu min kulli makanin wama huwa bimayyitin wamin waraihi adhabun ghalizun
1768,14,18,mathalu alladhina kafaru birabbihim a'maluhum karamadin ish'taddat bihi ar-rihu fi yawmin asifin la yaqdiruna mimma kasabu ala shayin dhalika huwa ad-dalalu al-ba'idu
1769,14,19,alam tara anna al-laha khalaqa as-samawati wal-arda bil-haqi in yasha yudh'hib'kum wayati bikhalqin jadidin
1770,14,20,wama dhalika ala al-lahi bi'azizin
1771,14,21,wabarazu lillahi jami'an faqala ad-du'afau lilladhina is'takbaru inna kunna lakum taba'an fahal antum mugh'nuna anna min adhabi al-lahi min shayin qalu law hadana al-lahu lahadaynakum sawaon alayna ajazi'na am sabarna ma lana min mahisin
1772,14,22,waqala as-shaytanu lamma qudiya al-amru inna al-laha wa'adakum wa'da al-haqi wawa'adttukum fa-akhlaftukum wama kana liya alaykum min sul'tanin illa an da'awtukum fa-is'tajabtum li fala talumuni walumu anfusakum ma ana bimus'rikhikum wama antum bimus'rikhiyya inni kafartu bima ashraktumuni min qablu inna az-zalimina lahum adhabun alimun
1773,14,23,wa-ud'khila alladhina amanu wa'amilu as-salihati jannatin tajri min tahtiha al-anharu khalidina fiha bi-idh'ni rabbihim tahiyyatuhum fiha salamun
1774,14,24,alam tara kayfa daraba al-lahu mathalan kalimatan tayyibatan kashajaratin tayyibatin asluha thabitun wafar'uha fi as-samai
1775,14,25,tu'ti ukulaha kulla hinin bi-idh'ni rabbiha wayadribu al-lahu al-amthala lilnnasi la'allahum yatadhakkaruna
1776,14,26,wamathalu kalimatin khabithatin kashajaratin khabithatin uj'tuthat min fawqi al-ardi ma laha min qararin
1777,14,27,yuthabbitu al-lahu alladhina amanu bil-qawli at-thabiti fi al-hayati ad-dun'ya wafi al-akhirati wayudillu al-lahu az-zalimina wayaf 'alu al-lahu ma yashau
1778,14,28,alam tara ila alladhina baddalu ni'mata al-lahi kuf'ran wa-ahallu qawmahum dara al-bawari
1779,14,29,jahannama yaslawnaha wabi'sa al-qararu
1780,14,30,waja'alu lillahi andadan liyudillu an sabilihi qul tamatta'u fa-inna masirakum ila an-nari
1781,14,31,qul li'ibadiya alladhina amanu yuqimu as-salata wayunfiqu mimma razaqnahum sirran wa'alaniyatan min qabli an yatiya yawmun la bay'un fihi wala khilalun
1782,14,32,al-lahu alladhi khalaqa as-samawati wal-arda wa-anzala mina as-samai maan fa-akhraja bihi mina at-thamarati riz'qan lakum wasakhara lakumu al-ful'ka litajriya fi al-bahri bi-amrihi wasakhara lakumu al-anhara
1783,14,33,wasakhara lakumu as-shamsa wal-qamara daibayni wasakhara lakumu al-layla wan-nahara
1784,14,34,waatakum min kulli ma sa-altumuhu wa-in ta'uddu ni'mata al-lahi la tuh'suha inna al-insana lazalumun kaffarun
1785,14,35,wa-idh qala ib'rahimu rabbi ij'al hadha al-balada aminan wa-uj'nub'ni wabaniyya an na'buda al-asnama
1786,14,36,rabbi innahunna adlalna kathiran mina an-nasi faman tabi'ani fa-innahu minni waman asani fa-innaka ghafurun rahimun
1787,14,37,rabbana inni askantu min dhurriyyati biwadin ghayri dhi zar'in inda baytika al-muharami rabbana liyuqimu as-salata fa-ij'al afidatan mina an-nasi tahwi ilayhim wa-ur'zuq'hum mina at-thamarati la'allahum yashkuruna
1788,14,38,rabbana innaka ta'lamu ma nukh'fi wama nu'linu wama yakhfa ala al-lahi min shayin fi al-ardi wala fi as-samai
1789,14,39,al-hamdu lillahi alladhi wahaba li ala al-kibari is'ma'ila wa-is'haqa inna rabbi lasami'u ad-du'ai
1790,14,40,rabbi ij'alni muqima as-salati wamin dhurriyyati rabbana wataqabbal du'ai
1791,14,41,rabbana igh'fir li waliwalidayya walil'mu'minina yawma yaqumu al-hisabu
1792,14,42,wala tahsabanna al-laha ghafilan amma ya'malu az-zalimuna innama yu-akhiruhum liyawmin tashkhasu fihi al-absaru
1793,14,43,muh'ti'ina muq'ni'i ruusihim la yartaddu ilayhim tarfuhum wa-afidatuhum hawaon
1794,14,44,wa-andhiri an-nasa yawma yatihimu al-'adhabu fayaqulu alladhina zalamu rabbana akhir'na ila ajalin qaribin nujib da'wataka wanattabi'i ar-rusula awalam takunu aqsamtum min qablu ma lakum min zawalin
1795,14,45,wasakantum fi masakini alladhina zalamu anfusahum watabayyana lakum kayfa fa'alna bihim wadarabna lakumu al-amthala
1796,14,46,waqad makaru makrahum wa'inda al-lahi makruhum wa-in kana makruhum litazula min'hu al-jibalu
1797,14,47,fala tahsabanna al-laha mukh'lifa wa'dihi rusulahu inna al-laha azizun dhu intiqamin
1798,14,48,yawma tubaddalu al-ardu ghayra al-ardi was-samawatu wabarazu lillahi al-wahidi al-qahari
1799,14,49,watara al-muj'rimina yawma-idhin muqarranina fi al-asfadi
1800,14,50,sarabiluhum min qatiranin wataghsha wujuhahumu an-naru
1801,14,51,liyajziya al-lahu kulla nafsin ma kasabat inna al-laha sari'u al-hisabi
1802,14,52,hadha balaghun lilnnasi waliyundharu bihi waliya'lamu annama huwa ilahun wahidun waliyadhakkara ulu al-albabi
1803,15,1,alif-lam-ra til'ka ayatu al-kitabi waqur'anin mubinin
1804,15,2,rubama yawaddu alladhina kafaru law kanu mus'limina
1805,15,3,dharhum yakulu wayatamatta'u wayul'hihimu al-amalu fasawfa ya'lamuna
1806,15,4,wama ahlakna min qaryatin illa walaha kitabun ma'lumun
1807,15,5,ma tasbiqu min ummatin ajalaha wama yastakhiruna
1808,15,6,waqalu yaayyuha alladhi nuzzila alayhi ad-dhik'ru innaka lamajnunun
1809,15,7,law ma tatina bil-malaikati in kunta mina as-sadiqina
1810,15,8,ma nunazzilu al-malaikata illa bil-haqi wama kanu idhan munzarina
1811,15,9,inna nahnu nazzalna ad-dhik'ra wa-inna lahu lahafizuna
1812,15,10,walaqad arsalna min qablika fi shiya'i al-awalina
1813,15,11,wama yatihim min rasulin illa kanu bihi yastahziuna
1814,15,12,kadhalika naslukuhu fi qulubi al-muj'rimina
1815,15,13,la yu'minuna bihi waqad khalat sunnatu al-awalina
1816,15,14,walaw fatahna alayhim baban mina as-samai fazallu fihi ya'rujuna
1817,15,15,laqalu innama sukkirat absaruna bal nahnu qawmun mashuruna
1818,15,16,walaqad ja'alna fi as-samai burujan wazayyannaha lilnnazirina
1819,15,17,wahafiz'naha min kulli shaytanin rajimin
1820,15,18,illa mani is'taraqa as-sam'a fa-atba'ahu shihabun mubinun
1821,15,19,wal-arda madadnaha wa-alqayna fiha rawasiya wa-anbatna fiha min kulli shayin mawzunin
1822,15,20,waja'alna lakum fiha ma'ayisha waman lastum lahu biraziqina
1823,15,21,wa-in min shayin illa indana khazainuhu wama nunazziluhu illa biqadarin ma'lumin
1824,15,22,wa-arsalna ar-riyaha lawaqiha fa-anzalna mina as-samai maan fa-asqaynakumuhu wama antum lahu bikhazinina
1825,15,23,wa-inna lanahnu nuh'yi wanumitu wanahnu al-warithuna
1826,15,24,walaqad alim'na al-mus'taqdimina minkum walaqad alim'na al-mus'takhirina
1827,15,25,wa-inna rabbaka huwa yahshuruhum innahu hakimun alimun
1828,15,26,walaqad khalaqna al-insana min salsalin min hama-in masnunin
1829,15,27,wal-jana khalaqnahu min qablu min nari as-samumi
1830,15,28,wa-idh qala rabbuka lil'malaikati inni khaliqun basharan min salsalin min hama-in masnunin
1831,15,29,fa-idha sawwaytuhu wanafakhtu fihi min ruhi faqa'u lahu sajidina
1832,15,30,fasajada al-malaikatu kulluhum ajma'una
1833,15,31,illa ib'lisa aba an yakuna ma'a as-sajidina
1834,15,32,qala yaib'lisu ma laka alla takuna ma'a as-sajidina
1835,15,33,qala lam akun li-asjuda libasharin khalaqtahu min salsalin min hama-in masnunin
1836,15,34,qala fa-ukh'ruj min'ha fa-innaka rajimun
1837,15,35,wa-inna alayka al-la'nata ila yawmi ad-dini
1838,15,36,qala rabbi fa-anzir'ni ila yawmi yub'athuna
1839,15,37,qala fa-innaka mina al-munzarina
1840,15,38,ila yawmi al-waqti al-ma'lumi
1841,15,39,qala rabbi bima aghwaytani la-uzayyinanna lahum fi al-ardi wala-ugh'wiyannahum ajma'ina
1842,15,40,illa ibadaka min'humu al-mukh'lasina
1843,15,41,qala hadha siratun alayya mus'taqimun
1844,15,42,inna ibadi laysa laka alayhim sul'tanun illa mani ittaba'aka mina al-ghawina
1845,15,43,wa-inna jahannama lamaw'iduhum ajma'ina
1846,15,44,laha sab'atu abwabin likulli babin min'hum juz'on maqsumun
1847,15,45,inna al-mutaqina fi jannatin wa'uyunin
1848,15,46,ud'khuluha bisalamin aminina
1849,15,47,wanaza'na ma fi sudurihim min ghillin ikh'wanan ala sururin mutaqabilina
1850,15,48,la yamassuhum fiha nasabun wama hum min'ha bimukh'rajina
1851,15,49,nabbi ibadi anni ana al-ghafuru ar-rahimu
1852,15,50,wa-anna adhabi huwa al-'adhabu al-alimu
1853,15,51,wanabbi'hum an dayfi ib'rahima
1854,15,52,idh dakhalu alayhi faqalu salaman qala inna minkum wajiluna
1855,15,53,qalu la tawjal inna nubashiruka bighulamin alimin
1856,15,54,qala abashartumuni ala an massaniya al-kibaru fabima tubashiruna
1857,15,55,qalu basharnaka bil-haqi fala takun mina al-qanitina
1858,15,56,qala waman yaqnatu min rahmati rabbihi illa ad-daluna
1859,15,57,qala fama khatbukum ayyuha al-mur'saluna
1860,15,58,qalu inna ur'sil'na ila qawmin muj'rimina
1861,15,59,illa ala lutin inna lamunajjuhum ajma'ina
1862,15,60,illa im'ra-atahu qaddarna innaha lamina al-ghabirina
1863,15,61,falamma jaa ala lutin al-mur'saluna
1864,15,62,qala innakum qawmun munkaruna
1865,15,63,qalu bal ji'naka bima kanu fihi yamtaruna
1866,15,64,wa-ataynaka bil-haqi wa-inna lasadiquna
1867,15,65,fa-asri bi-ahlika biqit'in mina al-layli wa-ittabi' adbarahum wala yaltafit minkum ahadun wa-im'du haythu tu'maruna
1868,15,66,waqadayna ilayhi dhalika al-amra anna dabira haulai maqtu'un mus'bihina
1869,15,67,wajaa ahlu al-madinati yastabshiruna
1870,15,68,qala inna haulai dayfi fala tafdahuni
1871,15,69,wa-ittaqu al-laha wala tukh'zuni
1872,15,70,qalu awalam nanhaka ani al-'alamina
1873,15,71,qala haulai banati in kuntum fa'ilina
1874,15,72,la'amruka innahum lafi sakratihim ya'mahuna
1875,15,73,fa-akhadhathumu as-sayhatu mush'riqina
1876,15,74,faja'alna aliyaha safilaha wa-amtarna alayhim hijaratan min sijjilin
1877,15,75,inna fi dhalika laayatin lil'mutawassimina
1878,15,76,wa-innaha labisabilin muqimin
1879,15,77,inna fi dhalika laayatan lil'mu'minina
1880,15,78,wa-in kana ashabu al-aykati lazalimina
1881,15,79,fa-intaqamna min'hum wa-innahuma labi-imamin mubinin
1882,15,80,walaqad kadhaba ashabu al-hij'ri al-mur'salina
1883,15,81,waataynahum ayatina fakanu anha mu'ridina
1884,15,82,wakanu yanhituna mina al-jibali buyutan aminina
1885,15,83,fa-akhadhathumu as-sayhatu mus'bihina
1886,15,84,fama aghna anhum ma kanu yaksibuna
1887,15,85,wama khalaqna as-samawati wal-arda wama baynahuma illa bil-haqi wa-inna as-sa'ata laatiyatun fa-is'fahi as-safha al-jamila
1888,15,86,inna rabbaka huwa al-khalaqu al-'alimu
1889,15,87,walaqad ataynaka sab'an mina al-mathani wal-qur'ana al-'azima
1890,15,88,la tamuddanna aynayka ila ma matta'na bihi azwajan min'hum wala tahzan alayhim wa-ikh'fid janahaka lil'mu'minina
1891,15,89,waqul inni ana an-nadhiru al-mubinu
1892,15,90,kama anzalna ala al-muq'tasimina
1893,15,91,alladhina ja'alu al-qur'ana idina
1894,15,92,fawarabbika lanasalannahum ajma'ina
1895,15,93,amma kanu ya'maluna
1896,15,94,fa-is'da' bima tu'maru wa-a'rid ani al-mush'rikina
1897,15,95,inna kafaynaka al-mus'tahziina
1898,15,96,alladhina yaj'aluna ma'a al-lahi ilahan akhara fasawfa ya'lamuna
1899,15,97,walaqad na'lamu annaka yadiqu sadruka bima yaquluna
1900,15,98,fasabbih bihamdi rabbika wakun mina as-sajidina
1901,15,99,wa-u'bud rabbaka hatta yatiyaka al-yaqinu
1902,16,1,ata amru al-lahi fala tasta'jiluhu sub'hanahu wata'ala amma yush'rikuna
1903,16,2,yunazzilu al-malaikata bil-ruhi min amrihi ala man yashau min ibadihi an andhiru annahu la ilaha illa ana fa-ittaquni
1904,16,3,khalaqa as-samawati wal-arda bil-haqi ta'ala amma yush'rikuna
1905,16,4,khalaqa al-insana min nut'fatin fa-idha huwa khasimun mubinun
1906,16,5,wal-an'ama khalaqaha lakum fiha dif'on wamanafi'u wamin'ha takuluna
1907,16,6,walakum fiha jamalun hina turihuna wahina tasrahuna
1908,16,7,watahmilu athqalakum ila baladin lam takunu balighihi illa bishiqqi al-anfusi inna rabbakum laraufun rahimun
1909,16,8,wal-khayla wal-bighala wal-hamira litarkabuha wazinatan wayakhluqu ma la ta'lamuna
1910,16,9,wa'ala al-lahi qasdu as-sabili wamin'ha jairun walaw shaa lahadakum ajma'ina
1911,16,10,huwa alladhi anzala mina as-samai maan lakum min'hu sharabun wamin'hu shajarun fihi tusimuna
1912,16,11,yunbitu lakum bihi az-zar'a waz-zaytuna wan-nakhila wal-a'naba wamin kulli at-thamarati inna fi dhalika laayatan liqawmin yatafakkaruna
1913,16,12,wasakhara lakumu al-layla wan-nahara was-shamsa wal-qamara wan-nujumu musakharatun bi-amrihi inna fi dhalika laayatin liqawmin ya'qiluna
1914,16,13,wama dhara-a lakum fi al-ardi mukh'talifan alwanuhu inna fi dhalika laayatan liqawmin yadhakkaruna
1915,16,14,wahuwa alladhi sakhara al-bahra litakulu min'hu lahman tariyyan watastakhriju min'hu hil'yatan talbasunaha watara al-ful'ka mawakhira fihi walitabtaghu min fadlihi wala'allakum tashkuruna
1916,16,15,wa-alqa fi al-ardi rawasiya an tamida bikum wa-anharan wasubulan la'allakum tahtaduna
1917,16,16,wa'alamatin wabil-najmi hum yahtaduna
1918,16,17,afaman yakhluqu kaman la yakhluqu afala tadhakkaruna
1919,16,18,wa-in ta'uddu ni'mata al-lahi la tuh'suha inna al-laha laghafurun rahimun
1920,16,19,wal-lahu ya'lamu ma tusirruna wama tu'linuna
1921,16,20,wa-alladhina yad'una min duni al-lahi la yakhluquna shayan wahum yukh'laquna
1922,16,21,amwatun ghayru ahyain wama yash'uruna ayyana yub'athuna
1923,16,22,ilahukum ilahun wahidun fa-alladhina la yu'minuna bil-akhirati qulubuhum munkiratun wahum mus'takbiruna
1924,16,23,la jarama anna al-laha ya'lamu ma yusirruna wama yu'linuna innahu la yuhibbu al-mus'takbirina
1925,16,24,wa-idha qila lahum madha anzala rabbukum qalu asatiru al-awalina
1926,16,25,liyahmilu awzarahum kamilatan yawma al-qiyamati wamin awzari alladhina yudillunahum bighayri il'min ala saa ma yaziruna
1927,16,26,qad makara alladhina min qablihim fa-ata al-lahu bun'yanahum mina al-qawa'idi fakharra alayhimu as-saqfu min fawqihim wa-atahumu al-'adhabu min haythu la yash'uruna
1928,16,27,thumma yawma al-qiyamati yukh'zihim wayaqulu ayna shurakaiya alladhina kuntum tushaqquna fihim qala alladhina utu al-'il'ma inna al-khiz'ya al-yawma was-sua ala al-kafirina
1929,16,28,alladhina tatawaffahumu al-malaikatu zalimi anfusihim fa-alqawu as-salama ma kunna na'malu min suin bala inna al-laha alimun bima kuntum ta'maluna
1930,16,29,fa-ud'khulu abwaba jahannama khalidina fiha falabi'sa mathwa al-mutakabirina
1931,16,30,waqila lilladhina ittaqaw madha anzala rabbukum qalu khayran lilladhina ahsanu fi hadhihi ad-dun'ya hasanatun waladaru al-akhirati khayrun walani'ma daru al-mutaqina
1932,16,31,jannatu adnin yadkhulunaha tajri min tahtiha al-anharu lahum fiha ma yashauna kadhalika yajzi al-lahu al-mutaqina
1933,16,32,alladhina tatawaffahumu al-malaikatu tayyibina yaquluna salamun alaykumu ud'khulu al-janata bima kuntum ta'maluna
1934,16,33,hal yanzuruna illa an tatiyahumu al-malaikatu aw yatiya amru rabbika kadhalika fa'ala alladhina min qablihim wama zalamahumu al-lahu walakin kanu anfusahum yazlimuna
1935,16,34,fa-asabahum sayyiatu ma amilu wahaqa bihim ma kanu bihi yastahziuna
1936,16,35,waqala alladhina ashraku law shaa al-lahu ma abadna min dunihi min shayin nahnu wala abauna wala harramna min dunihi min shayin kadhalika fa'ala alladhina min qablihim fahal ala ar-rusuli illa al-balaghu al-mubinu
1937,16,36,walaqad ba'athna fi kulli ummatin rasulan ani u'budu al-laha wa-ij'tanibu at-taghuta famin'hum man hada al-lahu wamin'hum man haqqat alayhi ad-dalalatu fasiru fi al-ardi fa-unzuru kayfa kana aqibatu al-mukadhibina
1938,16,37,in tahris ala hudahum fa-inna al-laha la yahdi man yudillu wama lahum min nasirina
1939,16,38,wa-aqsamu bil-lahi jahda aymanihim la yab'athu al-lahu man yamutu bala wa'dan alayhi haqqan walakinna akthara an-nasi la ya'lamuna
1940,16,39,liyubayyina lahumu alladhi yakhtalifuna fihi waliya'lama alladhina kafaru annahum kanu kadhibina
1941,16,40,innama qawluna lishayin idha aradnahu an naqula lahu kun fayakunu
1942,16,41,wa-alladhina hajaru fi al-lahi min ba'di ma zulimu lanubawwi-annahum fi ad-dun'ya hasanatan wala-ajru al-akhirati akbaru law kanu ya'lamuna
1943,16,42,alladhina sabaru wa'ala rabbihim yatawakkaluna
1944,16,43,wama arsalna min qablika illa rijalan nuhi ilayhim fasalu ahla ad-dhik'ri in kuntum la ta'lamuna
1945,16,44,bil-bayinati waz-zuburi wa-anzalna ilayka ad-dhik'ra litubayyina lilnnasi ma nuzzila ilayhim wala'allahum yatafakkaruna
1946,16,45,afa-amina alladhina makaru as-sayiati an yakhsifa al-lahu bihimu al-arda aw yatiyahumu al-'adhabu min haythu la yash'uruna
1947,16,46,aw yakhudhahum fi taqallubihim fama hum bimu'jizina
1948,16,47,aw yakhudhahum ala takhawwufin fa-inna rabbakum laraufun rahimun
1949,16,48,awalam yaraw ila ma khalaqa al-lahu min shayin yatafayya-u zilaluhu ani al-yamini was-shamaili sujjadan lillahi wahum dakhiruna
1950,16,49,walillahi yasjudu ma fi as-samawati wama fi al-ardi min dabbatin wal-malaikatu wahum la yastakbiruna
1951,16,50,yakhafuna rabbahum min fawqihim wayaf 'aluna ma yu'maruna
1952,16,51,waqala al-lahu la tattakhidhu ilahayni ith'nayni innama huwa ilahun wahidun fa-iyyaya fa-ir'habuni
1953,16,52,walahu ma fi as-samawati wal-ardi walahu ad-dinu wasiban afaghayra al-lahi tattaquna
1954,16,53,wama bikum min ni'matin famina al-lahi thumma idha massakumu ad-duru fa-ilayhi tajaruna
1955,16,54,thumma idha kashafa ad-dura ankum idha fariqun minkum birabbihim yush'rikuna
1956,16,55,liyakfuru bima ataynahum fatamatta'u fasawfa ta'lamuna
1957,16,56,wayaj'aluna lima la ya'lamuna nasiban mimma razaqnahum tal-lahi latus'alunna amma kuntum taftaruna
1958,16,57,wayaj'aluna lillahi al-banati sub'hanahu walahum ma yashtahuna
1959,16,58,wa-idha bushira ahaduhum bil-untha zalla wajhuhu mus'waddan wahuwa kazimun
1960,16,59,yatawara mina al-qawmi min sui ma bushira bihi ayum'sikuhu ala hunin am yadussuhu fi at-turabi ala saa ma yahkumuna
1961,16,60,lilladhina la yu'minuna bil-akhirati mathalu as-sawi walillahi al-mathalu al-a'la wahuwa al-'azizu al-hakimu
1962,16,61,walaw yuakhidhu al-lahu an-nasa bizul'mihim ma taraka alayha min dabbatin walakin yu-akhiruhum ila ajalin musamman fa-idha jaa ajaluhum la yastakhiruna sa'atan wala yastaqdimuna
1963,16,62,wayaj'aluna lillahi ma yakrahuna watasifu alsinatuhumu al-kadhiba anna lahumu al-hus'na la jarama anna lahumu an-nara wa-annahum muf'ratuna
1964,16,63,tal-lahi laqad arsalna ila umamin min qablika fazayyana lahumu as-shaytanu a'malahum fahuwa waliyyuhumu al-yawma walahum adhabun alimun
1965,16,64,wama anzalna alayka al-kitaba illa litubayyina lahumu alladhi ikh'talafu fihi wahudan warahmatan liqawmin yu'minuna
1966,16,65,wal-lahu anzala mina as-samai maan fa-ahya bihi al-arda ba'da mawtiha inna fi dhalika laayatan liqawmin yasma'una
1967,16,66,wa-inna lakum fi al-an'ami la'ib'ratan nus'qikum mimma fi butunihi min bayni farthin wadamin labanan khalisan saighan lilsharibina
1968,16,67,wamin thamarati an-nakhili wal-a'nabi tattakhidhuna min'hu sakaran wariz'qan hasanan inna fi dhalika laayatan liqawmin ya'qiluna
1969,16,68,wa-awha rabbuka ila an-nahli ani ittakhidhi mina al-jibali buyutan wamina as-shajari wamimma ya'rishuna
1970,16,69,thumma kuli min kulli at-thamarati fa-us'luki subula rabbiki dhululan yakhruju min butuniha sharabun mukh'talifun alwanuhu fihi shifaon lilnnasi inna fi dhalika laayatan liqawmin yatafakkaruna
1971,16,70,wal-lahu khalaqakum thumma yatawaffakum waminkum man yuraddu ila ardhali al-'umuri likay la ya'lama ba'da il'min shayan inna al-laha alimun qadirun
1972,16,71,wal-lahu faddala ba'dakum ala ba'din fi ar-riz'qi fama alladhina fuddilu biraddi riz'qihim ala ma malakat aymanuhum fahum fihi sawaon afabini'mati al-lahi yajhaduna
1973,16,72,wal-lahu ja'ala lakum min anfusikum azwajan waja'ala lakum min azwajikum banina wahafadatan warazaqakum mina at-tayibati afabil-batili yu'minuna wabini'mati al-lahi hum yakfuruna
1974,16,73,waya'buduna min duni al-lahi ma la yamliku lahum riz'qan mina as-samawati wal-ardi shayan wala yastati'una
1975,16,74,fala tadribu lillahi al-amthala inna al-laha ya'lamu wa-antum la ta'lamuna
1976,16,75,daraba al-lahu mathalan abdan mamlukan la yaqdiru ala shayin waman razaqnahu minna riz'qan hasanan fahuwa yunfiqu min'hu sirran wajahran hal yastawuna al-hamdu lillahi bal aktharuhum la ya'lamuna
1977,16,76,wadaraba al-lahu mathalan rajulayni ahaduhuma abkamu la yaqdiru ala shayin wahuwa kallun ala mawlahu aynama yuwajjihhu la yati bikhayrin hal yastawi huwa waman yamuru bil-'adli wahuwa ala siratin mus'taqimin
1978,16,77,walillahi ghaybu as-samawati wal-ardi wama amru as-sa'ati illa kalamhi al-basari aw huwa aqrabu inna al-laha ala kulli shayin qadirun
1979,16,78,wal-lahu akhrajakum min butuni ummahatikum la ta'lamuna shayan waja'ala lakumu as-sam'a wal-absara wal-afidata la'allakum tashkuruna
1980,16,79,alam yaraw ila at-tayri musakharatin fi jawwi as-samai ma yum'sikuhunna illa al-lahu inna fi dhalika laayatin liqawmin yu'minuna
1981,16,80,wal-lahu ja'ala lakum min buyutikum sakanan waja'ala lakum min juludi al-an'ami buyutan tastakhiffunaha yawma za'nikum wayawma iqamatikum wamin aswafiha wa-awbariha wa-ash'ariha athathan wamata'an ila hinin
1982,16,81,wal-lahu ja'ala lakum mimma khalaqa zilalan waja'ala lakum mina al-jibali aknanan waja'ala lakum sarabila taqikumu al-hara wasarabila taqikum basakum kadhalika yutimmu ni'matahu alaykum la'allakum tus'limuna
1983,16,82,fa-in tawallaw fa-innama alayka al-balaghu al-mubinu
1984,16,83,ya'rifuna ni'mata al-lahi thumma yunkirunaha wa-aktharuhumu al-kafiruna
1985,16,84,wayawma nab'athu min kulli ummatin shahidan thumma la yu'dhanu lilladhina kafaru wala hum yus'ta'tabuna
1986,16,85,wa-idha raa alladhina zalamu al-'adhaba fala yukhaffafu anhum wala hum yunzaruna
1987,16,86,wa-idha raa alladhina ashraku shurakaahum qalu rabbana haulai shurakauna alladhina kunna nad'u min dunika fa-alqaw ilayhimu al-qawla innakum lakadhibuna
1988,16,87,wa-alqaw ila al-lahi yawma-idhin as-salama wadalla anhum ma kanu yaftaruna
1989,16,88,alladhina kafaru wasaddu an sabili al-lahi zid'nahum adhaban fawqa al-'adhabi bima kanu yuf'siduna
